src,dst,src_port,dst_port,proto,packet_count,total_bytes,start_time,end_time,duration
,,80,37092,TCP,2,2740,1765642522.615802,1765642522.618083,0.0022809505462646484
,,37092,80,TCP,2,196,1765642522.615873,1765642522.61811,0.0022368431091308594
146.75.122.172,192.168.187.196,80,37084,TCP,1,1334,1765642522.619247,1765642522.619247,0.0
